date,best_lag,beta,pval,r2,risk_score
2012-10-01,12,20305.53039471284,5.941985796790896e-07,0.20785809472681105,20305.53039471284
2012-11-01,3,-7945.446975148254,0.16416038552100554,0.06658727145211707,0.0
2012-12-01,4,10296.023116573462,0.07139136077436246,0.09583914076174771,0.0
2013-01-01,10,-30026.952385321958,4.790720413223726e-10,0.377044257004699,0.0
2013-02-01,10,-28282.272001211557,7.710492505253297e-37,0.5602006444044123,0.0
2013-03-01,10,-28999.74980471228,8.878284736224657e-46,0.5907045583868193,0.0
2013-04-01,10,-29847.077794082452,4.641007607670992e-27,0.543305860009197,0.0
2013-05-01,2,-24358.824530521015,0.055310132788774606,0.30930085899759174,0.0
2013-06-01,2,-33554.331114057895,0.010136763018664037,0.47533889680300767,0.0
2013-07-01,2,-33948.45890390292,0.00923187869417381,0.4811181049459162,0.0
2013-08-01,2,-34239.25130068249,0.0083784024059026,0.4818951700027083,0.0
2013-09-01,2,-34959.47450884641,0.006226013792839169,0.5095854936380944,0.0
2013-10-01,2,-34789.15830606746,0.005854175210220975,0.4951497062595116,0.0
2013-11-01,2,-35541.48519070379,0.004137957955820254,0.5107965644854031,0.0
2013-12-01,2,-33101.84372744453,0.012894341997699784,0.45647353103212907,0.0
2014-01-01,2,-33080.826828998455,0.013133921855966993,0.4558253537251583,0.0
2014-02-01,2,-33152.21317273582,0.012732174220640389,0.4611212487707601,0.0
2014-03-01,2,-32491.610065437253,0.022081700521502347,0.4317613856535857,0.0
2014-04-01,2,-35625.83105923418,0.010586890882778087,0.44531090831362075,0.0
2014-05-01,2,-34659.87569144603,0.014780075810730315,0.45187308861805064,0.0
2014-06-01,2,-33150.08248826685,0.017766998056700095,0.44481424760104193,0.0
2014-07-01,2,-36282.9719242581,0.0028216390615322592,0.4517048565108608,0.0
2014-08-01,2,-39668.67416986627,0.0003923843151048397,0.4599267237851866,0.0
2014-09-01,2,-45477.706167164244,1.3696124401324654e-05,0.5101664822272578,0.0
2014-10-01,2,-50754.13728614377,2.2965526272294154e-06,0.4818866604793176,0.0
2014-11-01,2,-48797.039872208625,3.435924094425926e-06,0.46076460308649625,0.0
2014-12-01,2,-49340.36401676794,2.0499631160143414e-06,0.4795995528761574,0.0
2015-01-01,2,-49574.46628220313,1.8500894330758672e-06,0.48631790523945284,0.0
2015-02-01,3,46761.12258311787,0.00015833316288458584,0.5409013695724644,46761.12258311787
2015-03-01,3,45507.083965825164,0.021995625508990462,0.41057305199130345,45507.083965825164
2015-04-01,3,64273.513236933664,0.005634645117709601,0.4950143638720722,64273.513236933664
2015-05-01,3,63687.09793269674,0.008259648760039323,0.48388109086004794,63687.09793269674
2015-06-01,4,-66479.47666428314,0.0004551394649730899,0.5275976512296019,0.0
2015-07-01,5,66473.12015659409,0.001883022662922149,0.5207506552618464,66473.12015659409
2015-08-01,6,-64999.03296989912,0.003387455414263751,0.48423668722839863,0.0
2015-09-01,3,46114.95417683614,0.04758967496938443,0.3735569914480422,46114.95417683614
2015-10-01,3,45837.192731141906,0.053716209178350634,0.36645702824428616,0.0
2015-11-01,3,45331.45812613013,0.05522741016731468,0.3620063330975185,0.0
2015-12-01,3,45778.60171128481,0.0464331730288768,0.37226851718333365,45778.60171128481
2016-01-01,9,-13450.26967692707,0.0030325234864193086,0.43096512237124895,0.0
2016-02-01,9,-14757.460982058761,0.000997896764228068,0.48464998339376175,0.0
2016-03-01,9,-16095.07858584912,9.606810631561734e-05,0.5107358885317526,0.0
2016-04-01,9,-15616.678648714562,7.292054626623651e-08,0.42511293989657994,0.0
2016-05-01,9,-15494.275438331482,2.5163980936147773e-05,0.39122533028325,0.0
2016-06-01,9,-12213.651913523265,0.03134817682122711,0.21016089410397687,0.0
2016-07-01,9,-11611.272884881735,0.14598841439759755,0.13635425056994532,0.0
2016-08-01,9,-10486.902954566936,0.21346209715421005,0.12461977479676467,0.0
2016-09-01,1,-8292.406766185293,0.18140275066326206,0.10703304534368718,0.0
2016-10-01,1,-7604.40919352369,0.20713923856872773,0.09004177243946876,0.0
2016-11-01,5,-8724.606613675585,0.27774657123342494,0.0795028014499014,0.0
2016-12-01,5,-10439.713017652672,0.19155157205779705,0.0965059258492349,0.0
2017-01-01,5,-11475.209884654367,0.1669960320293944,0.11882166927157323,0.0
2017-02-01,5,-11382.935623607444,0.16016784327794786,0.11897662028588585,0.0
2017-03-01,12,-17622.33624523871,0.04428365639081828,0.24729435061503213,0.0
2017-04-01,12,-23131.06019126357,0.026917834531144588,0.2971568771539438,0.0
2017-05-01,12,-25612.471097425074,0.011847855101566976,0.2091226452361119,0.0
2017-06-01,8,-27257.396558473665,0.0613589643673771,0.21455779341639614,0.0
2017-07-01,12,-32927.53580371203,6.332912102153136e-17,0.2434285121566988,0.0
2017-08-01,6,-35372.293637475836,0.11437523238694927,0.31847875136371107,0.0
2017-09-01,11,109064.05959362657,0.1961842956521619,0.1231682427397971,0.0
2017-10-01,0,-157511.58685907448,0.13766712304042117,0.22562215328926982,0.0
2017-11-01,0,-163241.48450006766,0.12935963392335198,0.2348206837041703,0.0
2017-12-01,0,-174369.4553317771,0.1153997232812744,0.2559342205578682,0.0
2018-01-01,0,-179015.2275451118,0.11460992333406919,0.26172639772831163,0.0
2018-02-01,0,-179324.7161188534,0.11293425259444789,0.2633586326382026,0.0
2018-03-01,0,-187113.78739241586,0.11392341964017283,0.2635788617925363,0.0
2018-04-01,0,-182580.33547897305,0.11848017847701252,0.25919198860735937,0.0
2018-05-01,0,-182725.9623427123,0.11899959350545002,0.2590994155750673,0.0
2018-06-01,11,267344.99077332136,0.01845047914654479,0.26500797950580013,267344.99077332136
2018-07-01,11,264505.80888215214,0.03168005567092479,0.2688100698568494,264505.80888215214
2018-08-01,11,238792.685669303,0.06256593805311897,0.24036901813773792,0.0
2018-09-01,11,188423.68626545384,0.17865824958562337,0.1952589743542562,0.0
2018-10-01,8,191493.60616900388,0.1756893175140617,0.19410354110761963,0.0
2018-11-01,8,166899.39742780797,0.2630745201394452,0.16198594955101409,0.0
2018-12-01,8,157707.36229092366,0.2945982632419165,0.14961943113277265,0.0
2019-01-01,0,-101297.28905975392,0.22819616539270304,0.13283902639997336,0.0
2019-02-01,8,-28551.067078267435,0.01056491246001325,0.14880790473965833,0.0
2019-03-01,7,42312.56409066182,0.00026691625779122225,0.5176704813595947,42312.56409066182
2019-04-01,7,40207.399910557644,0.00036790101333956655,0.42737082406282834,40207.399910557644
2019-05-01,7,34485.07586379657,0.0003590212118982134,0.38576474564461016,34485.07586379657
2019-06-01,7,34040.720797445036,0.00039001442017089276,0.38705729711452697,34040.720797445036
2019-07-01,7,32994.740407859696,0.0006781527618891003,0.39754551297575624,32994.740407859696
2019-08-01,7,34131.90580578595,0.0007155758363456827,0.4614013192355625,34131.90580578595
2019-09-01,7,34035.229576453174,0.000990663631022274,0.45026722609069614,34035.229576453174
2019-10-01,7,31572.114441220707,0.020497435150101873,0.37778107154046947,31572.114441220707
2019-11-01,10,-27913.964920245406,0.01043738305743454,0.27925423160596896,0.0
2019-12-01,10,-28222.319277526032,0.01151717579737792,0.2889894131717071,0.0
2020-01-01,10,-37861.60632620999,0.0003438522257735231,0.3767247132924628,0.0
